City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
199,marfino,40,RU,1526500800,77,56.07,37.56,60.8,4.47
200,buchanan,75,LR,1526499000,94,5.88,-10.05,78.8,5.73
201,wukari,0,NG,1526501627,76,7.87,9.78,80.4,7.18
202,kiruna,0,SE,1526498400,75,67.86,20.23,44.6,9.17
203,puerto madryn,0,AR,1526501628,93,-42.77,-65.04,50.34,7.4
204,shaunavon,12,CA,1526501628,27,49.65,-108.41,83.28,10.42
205,taikang,32,CN,1526501629,76,46.86,124.44,47.55,3.49
206,pailon,40,BO,1526500800,62,-17.66,-62.72,84.2,11.41
207,namibe,0,AO,1526501629,100,-15.19,12.15,71.13,14.0
208,marawi,32,PH,1526501630,97,8.0,124.29,66.0,1.36
209,mountain home,20,US,1526497260,33,43.13,-115.69,73.4,6.93
210,maldonado,75,UY,1526497200,54,-34.91,-54.96,59.0,11.41
211,hami,32,CN,1526501631,58,42.84,93.51,51.42,6.29
212,prainha,44,BR,1526501347,91,-1.8,-53.48,78.69,1.48
213,usman,0,RU,1526500800,87,52.05,39.74,59.0,2.48
214,khatanga,24,RU,1526501632,90,71.98,102.47,26.58,13.67
215,teguldet,88,RU,1526501633,95,57.31,88.17,33.6,4.38
216,umm lajj,0,SA,1526501633,83,25.02,37.27,77.43,5.95
217,warrington,0,GB,1526498400,58,53.39,-2.59,55.4,14.99
218,provideniya,32,RU,1526501634,100,64.42,-173.23,30.99,4.61
219,kruisfontein,0,ZA,1526501634,82,-34.0,24.73,62.94,5.06
220,lubango,0,AO,1526501634,93,-14.92,13.49,61.14,1.92
221,madang,88,PG,1526501635,100,-5.21,145.81,75.0,1.81
222,visnes,0,NO,1526498400,70,59.36,5.22,50.0,32.21
223,surdulica,12,RS,1526501636,82,42.69,22.17,48.54,1.81
224,cabedelo,75,BR,1526500800,83,-6.97,-34.84,78.8,13.87
225,sal rei,75,CV,1526500800,68,16.18,-22.92,73.4,16.11
226,izmalkovo,12,RU,1526501637,69,52.69,37.97,63.48,6.85
227,wagar,44,US,1526501637,87,31.44,-87.99,77.52,2.71
228,halifax,75,CA,1526497200,61,44.65,-63.58,51.8,13.87
229,dayong,48,PH,1526501638,100,11.74,122.04,81.12,7.96
230,mahebourg,20,MU,1526500800,88,-20.41,57.7,69.8,5.82
231,olinda,75,EC,1526500800,62,-2.03,-79.75,86.0,3.36
232,matara,40,PE,1526500800,54,-13.74,-72.9,57.2,2.59
233,semey,0,KZ,1526501639,81,50.41,80.25,41.7,8.63
234,khani,40,GE,1526500800,93,41.96,42.96,60.8,4.7
235,ayorou,64,NE,1526501640,59,14.73,0.92,80.22,2.37
236,georgetown,40,GY,1526500800,62,6.8,-58.16,84.2,13.87
237,vao,0,EE,1526501641,53,59.1,26.19,62.04,4.83
238,kosh-agach,0,RU,1526501642,41,49.99,88.66,26.49,7.4
239,davila,0,PH,1526501642,97,18.47,120.58,83.1,3.15
240,ambatofinandrahana,12,MG,1526501642,87,-20.55,46.8,44.4,3.15
241,cabra,12,ES,1526499000,36,37.47,-4.43,75.2,3.36
242,sitka,20,US,1526501643,62,37.17,-99.65,82.92,9.75
243,anchorage,90,US,1526500560,74,61.22,-149.89,51.8,5.82
244,mandalgovi,0,MN,1526501644,91,45.76,106.27,44.85,3.04
245,flinders,0,AU,1526497200,100,-34.58,150.85,44.6,10.29
246,ketchikan,1,US,1526500560,50,55.34,-131.65,60.8,16.11
247,orimattila,0,FI,1526498400,63,60.8,25.73,62.6,3.36
